number,wage,educ,exper
101,9.85940223,2,24
102,10.56364542,2,18
103,15.77504158,2,20
104,8.772855163,2,21
105,7.26960404,2,41
106,11.26788614,2,17
107,12.1815002,2,22
108,12.00919685,2,35
109,9.577703465,2,39
110,7.042429456,2,12
111,6.179732721,2,23
112,9.184663323,2,25
113,6.103438531,2,30
114,10.97136334,2,18
115,8.374780304,2,33
116,3.467041316,2,20
117,9.965195749,2,29
118,6.170511082,2,4
119,9.155159036,2,13
120,12.15745701,2,35
121,11.37789633,2,33
122,7.042429456,2,4
123,14.82616714,2,34
124,10.45702146,2,21
125,10.56364542,2,31
126,6.703194604,2,15
127,8.263116666,2,16
128,5.633943069,2,15
129,13.14586799,2,34
130,8.920411305,2,23
131,9.155159036,2,8
132,7.183277599,2,24
133,6.139554139,2,22
134,13.77186111,2,45
135,12.30571965,2,15
136,9.637009512,2,23
137,7.887520792,2,18
138,12.11297995,2,33
139,8.450915843,2,37
140,6.671776579,2,32
141,12.15745701,2,34
142,10.25318357,2,15
143,6.651184063,2,31
144,8.707004727,2,11
145,8.154393045,2,21
146,7.696201528,2,11
147,8.154393045,2,14
148,8.028368935,2,21
149,9.85940223,2,24
150,11.73738408,2,23
151,14.82616714,2,27
152,7.511924918,2,23
153,12.75050508,2,20
154,5.365660302,2,26
155,11.41614878,2,23
156,10.37831775,2,7
157,10.67484054,2,24
158,7.124343392,2,22
159,11.44394756,2,25
160,10.56364542,2,20
161,11.11962598,2,15
162,12.30571965,2,16
163,4.426669377,2,29
164,6.438793849,2,24
165,7.547795111,2,9
166,8.021846856,2,18
167,9.389906767,2,13
168,8.450915843,2,18
169,8.751392542,2,23
170,7.98142038,2,20
171,8.450915843,2,4
172,7.355427257,2,10
173,12.41710069,2,29
174,12.07273692,2,14
175,11.13222889,2,24
176,8.895701278,2,14
177,5.710078607,2,2
178,7.561344971,2,9
179,16.90183169,2,24
180,5.633943069,2,6
181,8.028368935,2,34
182,6.671776579,2,33
183,9.637009512,2,24
184,7.442440363,2,11
185,8.36133456,2,4
186,12.89876524,2,17
187,5.633943069,2,3
188,9.85940223,2,30
189,10.70449357,2,22
190,16.76098354,2,17
191,7.116559535,2,13
192,8.097756811,2,15
193,4.619832969,2,27
194,8.74743864,2,34
195,9.637009512,2,21
196,7.709607609,2,16
197,12.20687954,2,31
198,7.887520792,2,16
199,9.155159036,2,21
200,8.895701278,2,16
201,5.477445408,2,8
202,8.154393045,2,27
203,11.11962598,2,22
204,10.51753475,2,23
205,7.042429456,2,13
206,5.258347195,2,7
207,8.154393045,2,26
208,6.820036738,2,20
209,11.26788614,2,25
210,3.634803259,2,4
211,6.572933993,2,2
212,8.756650364,2,19
213,4.346185786,2,12
214,9.139509518,2,39
215,11.71267157,2,30
216,9.603313345,2,32
217,7.32412822,2,10
218,8.217635641,2,27
219,7.042429456,2,20
220,12.55776291,2,24
221,9.624654498,2,27
222,9.219653494,2,30
223,14.46553164,2,35
224,8.450915843,2,15
225,6.479034405,2,3
226,13.24738039,2,23
227,7.746672649,2,3
228,7.746672649,2,5
229,8.900502976,2,14
230,8.222511707,2,25
231,10.89723326,2,18
232,10.56364542,2,15
233,10.56364542,2,38
234,6.338186262,2,11
235,9.155159036,2,29
236,7.413084812,2,22
237,7.116559535,2,4
238,11.45779241,2,8
239,11.71296905,2,31
240,8.144588856,2,20
241,7.32412822,2,4
242,7.629297544,2,14
243,6.861853897,2,19
244,13.59189041,2,21
245,10.56364542,2,30
246,6.197338119,2,0
247,8.229710535,2,30
248,7.629297544,2,21
249,6.056489976,2,1
250,5.446146371,2,7
251,12.87758522,2,24
252,13.89133339,2,20
253,9.976774856,2,35
254,11.19375606,2,28
255,7.605824506,2,18
256,11.97213181,2,31
257,8.978133312,2,19
258,9.155159036,2,34
259,5.555695478,2,33
260,7.042429456,2,2
261,11.97213181,2,16
262,10.37831775,2,22
263,5.77840302,2,0
264,24.73453578,2,46
265,5.633943069,2,6
266,5.937550663,2,20
267,4.892634835,2,5
268,17.21482949,2,25
269,7.413084812,2,10
270,17.27248456,2,38
271,6.707076616,2,22
272,9.637009512,2,13
273,7.906536704,2,31
274,7.857870248,2,15
275,4.577579518,2,26
276,7.303260544,2,22
277,14.82616714,2,23
278,10.14109852,2,25
279,9.136125771,2,14
280,7.116559535,2,27
281,10.64956284,2,20
282,11.42015721,2,33
283,8.895701278,2,18
284,8.048490452,2,9
285,7.042429456,2,5
286,9.85940223,2,21
287,7.232764583,2,1
288,7.042429456,2,14
289,13.38061572,2,21
290,8.446912362,2,16
291,9.389906767,2,32
292,5.633943069,2,5
293,8.216168111,2,12
294,10.65881175,2,20
295,11.12703799,2,20
296,7.042429456,2,24
297,10.01589989,2,18
298,14.08485891,2,27
299,7.464976363,2,6
300,10.98618985,2,19
301,10.98618985,2,17
302,6.090748862,2,30
303,10.53234391,2,27
304,10.56364542,2,26
305,16.90183169,2,33
306,7.887520792,2,10
307,8.450915843,2,27
308,13.77186111,2,39
309,6.259043776,2,1
310,13.38061572,2,24
311,14.16099445,2,31
312,2.190977915,2,36
313,8.450915843,2,17
314,7.746672649,2,13
315,9.209274193,2,26
316,7.25370167,2,21
317,5.189157633,2,27
318,7.103669072,2,24
319,6.619882548,2,15
320,12.60224244,2,32
321,7.98142038,2,6
322,7.21961631,2,13
323,10.4302093,2,20
324,10.64189301,2,10
325,10.00025037,2,20
326,8.450915843,2,22
327,8.541362274,2,14
328,13.38061572,2,46
329,8.545209582,2,11
330,9.894538658,2,21
331,12.44707101,2,22
332,11.26788614,2,20
333,8.006130407,2,34
334,5.21139864,2,15
335,10.29662443,2,13
336,7.711813862,2,29
337,9.389906767,2,25
338,8.599178481,2,23
339,8.763911165,2,28
340,8.302653204,2,45
341,7.098064199,2,38
342,10.32889769,2,14
343,12.56802818,2,14
344,6.77595879,2,15
345,7.709607609,2,29
346,8.513516394,2,16
347,10.37831775,2,32
348,10.25674332,2,6
349,9.823286622,2,40
350,7.179274118,2,31
351,6.103438531,2,24
352,7.98142038,2,26
353,9.577703465,2,25
354,5.281822712,2,15
355,8.095086998,2,32
356,9.296007179,2,27
357,8.895701278,2,12
358,9.897468759,2,29
359,20.94671281,2,27
360,6.338186262,2,2
361,8.519622012,2,22
362,9.637009512,2,23
363,7.577653886,2,29
364,10.11220653,2,11
365,9.338964648,3,38
366,8.450915843,3,5
367,7.746672649,3,1
368,12.41355085,3,19
369,11.97213181,3,16
370,10.7861844,3,9
371,14.16534498,3,9
372,7.605824506,3,20
373,13.77186111,3,26
374,10.14109852,3,22
375,9.637009512,3,4
376,12.2538281,3,13
377,13.77186111,3,25
378,27.38722704,3,35
379,4.507155447,3,3
380,7.707235268,3,30
381,14.82616714,3,22
382,9.574589922,3,15
383,10.17239755,3,33
384,7.16762808,3,5
385,15.72263441,3,46
386,9.296007179,3,6
387,17.21482949,3,24
388,11.26788614,3,19
389,8.599178481,3,22
390,6.690309098,3,12
391,5.352246783,3,4
392,9.85940223,3,16
393,8.3100677,3,42
394,9.192224076,3,18
395,10.56364542,3,10
396,14.08485891,3,15
397,11.11962598,3,8
398,10.46303784,3,23
399,8.450915843,3,12
400,8.895701278,3,11
401,10.17239755,3,21
402,7.746672649,3,6
403,13.53669196,3,39
404,8.450915843,3,19
405,10.56364542,3,9
406,10.65881175,3,20
407,13.38061572,3,20
408,17.60461974,3,23
409,9.286240174,3,34
410,5.312003748,3,3
411,14.82616714,3,26
412,15.07908547,3,29
413,6.301121222,3,4
414,9.637009512,3,17
415,7.887520792,3,15
416,9.436855322,3,14
417,11.89388174,3,18
418,11.86093421,3,8
419,8.450915843,3,31
420,6.76073317,3,3
421,9.85940223,3,15
422,12.07273692,3,24
423,12.35133701,3,4
424,15.4933453,3,20
425,9.785269671,3,18
426,7.887520792,3,8
427,8.154393045,3,11
428,7.042429456,3,33
429,15.15799246,3,31
430,9.440662966,3,9
431,6.549460956,3,2
432,15.22687463,3,29
433,7.746672649,3,10
434,5.915641834,3,3
435,5.352246783,3,14
436,7.709607609,3,7
437,4.788851732,3,23
438,9.506716675,3,12
439,9.488746873,3,12
440,6.895946693,3,7
441,7.522946264,3,9
442,10.56364542,3,30
443,7.511924918,3,10
444,6.338186262,3,18
445,7.540469857,3,17
446,13.34355068,3,18
447,6.658296129,3,16
448,8.74743864,3,10
449,9.644272792,3,18
450,6.535375645,3,3
451,8.895701278,3,11
452,7.32412822,3,6
453,18.77981106,3,43
454,7.042429456,3,5
455,10.08179495,3,10
456,19.71880198,3,24
457,8.895701278,3,18
458,22.53577475,3,15
459,11.40873676,3,22
460,12.67637252,3,35
461,8.089933292,3,9
462,2.478935248,3,16
463,11.26788614,3,2
464,15.22687463,3,22
465,8.551520951,3,15
466,5.902225836,3,2
467,24.46317666,3,16
468,11.16186703,3,29
469,6.338186262,3,1
470,14.82616714,3,32
471,7.98142038,3,2
472,10.19758601,3,30
473,9.389906767,3,13
474,12.1815002,3,37
475,7.156631524,3,9
476,10.08179495,3,15
477,5.701013141,3,1
478,9.637009512,3,15
479,7.857870248,3,24
480,15.4933453,3,32
481,11.56441141,3,19
482,10.01589989,3,26
483,10.46303784,3,25
484,10.08179495,3,6
485,11.72469441,3,14
486,11.97213181,3,23
487,7.746672649,3,13
488,9.803063468,3,20
489,6.671776579,3,2
490,18.38444815,3,28
491,11.5495849,3,29
492,12.4860374,3,30
493,6.338186262,3,1
494,8.74743864,3,22
495,9.436855322,3,8
496,10.89229274,3,14
497,16.7852077,3,18
498,6.671776579,3,11
499,9.155159036,3,42
500,8.154393045,3,18
501,7.746672649,3,13
502,13.30236565,3,31
503,11.07445482,3,28
504,10.01589989,3,9
505,10.56364542,3,30
506,7.042429456,3,14
507,10.32889769,3,22
508,9.488746873,3,17
509,8.3100677,3,14
510,6.310018121,3,43
511,10.65881175,3,11
512,11.83128119,3,22
513,11.16514171,3,22
514,10.88375529,3,24
515,15.2616764,3,25
516,6.500705257,3,13
517,14.08485891,3,25
518,15.4933453,3,37
519,8.667607009,3,6
520,6.572933993,3,11
521,7.042429456,3,5
522,13.70418866,3,30
523,12.60224244,3,22
524,13.45886579,3,28
525,6.671776579,3,4
526,11.08008944,3,17
527,7.709607609,3,18
528,11.42015721,3,32
529,11.23363965,3,19
530,11.14801722,3,21
531,8.087055248,3,7
532,7.413084812,3,5
533,6.666833582,3,16
534,6.76073317,3,15
535,12.1815002,3,16
536,16.90183169,3,22
537,12.75050508,3,25
538,8.154393045,3,11
539,8.607413504,3,13
540,6.934642872,3,2
541,13.14586799,3,13
542,10.09433836,3,12
543,9.577703465,3,4
544,12.60224244,3,31
545,12.51987486,3,13
546,9.85940223,3,15
547,15.11545889,3,9
548,17.70667999,3,15
549,8.895701278,3,14
550,9.718551608,3,15
551,10.32889769,3,16
552,7.807520594,3,21
553,13.34355068,3,24
554,11.39109418,3,34
555,11.11962598,3,18
556,12.57621362,3,17
557,8.87346275,3,12
558,11.97213181,3,9
559,7.709607609,3,25
560,5.164447606,3,7
561,9.389906767,3,22
562,9.389906767,3,17
563,14.27265809,3,16
564,10.70449357,3,14
565,13.86817022,3,34
566,11.86093421,3,12
567,7.433674848,3,1
568,11.86093421,3,16
569,6.510335921,3,7
570,4.963234911,3,5
571,8.154393045,3,9
572,10.37831775,3,22
573,11.68012811,3,15
574,9.121624,3,35
575,9.296007179,3,12
576,9.890701266,3,25
577,6.619882548,3,5
578,8.194826958,3,12
579,8.154393045,3,20
580,10.01589989,3,21
581,10.96334894,3,16
582,10.01577347,3,33
583,9.155159036,3,35
584,8.154393045,3,11
585,5.633943069,3,6
586,15.11545889,3,27
587,10.56364542,3,19
588,11.14540938,3,27
589,11.97213181,3,34
590,12.98699055,3,19
591,7.98142038,3,12
592,13.38061572,3,24
593,22.53577475,3,20
594,9.890701266,3,8
595,8.154393045,3,22
596,7.605824506,3,12
597,9.433580648,3,25
598,13.34355068,3,21
599,8.154393045,3,32
600,8.963093612,3,29
601,8.154393045,3,6
602,11.73738408,3,24
603,8.385281074,3,9
604,14.05669077,3,22
605,11.86093421,3,17
606,9.141073726,3,21
607,11.84843542,3,15
608,6.76073317,3,26
609,12.67637252,3,33
610,19.58739114,3,22
611,8.607413504,3,14
612,9.488746873,3,28
613,9.436855322,3,14
614,12.20687954,3,39
615,10.37831775,3,5
616,11.62253005,3,14
617,7.190848267,3,3
618,8.137918041,3,4
619,7.796784325,3,15
620,10.55702419,3,5
621,12.89876524,3,17
622,10.7313206,3,19
623,10.65881175,3,16
624,5.122382554,3,1
625,6.985599865,3,21
626,8.920411305,3,32
627,10.2278315,3,9
628,8.607413504,3,23
629,10.37831775,3,15
630,8.181291971,3,8
631,7.629297544,3,10
632,9.953299339,3,14
633,12.60224244,3,22
634,8.638715019,3,11
635,5.884340318,3,10
636,7.746672649,3,4
637,6.146120838,3,6
638,7.746672649,3,29
639,5.799647495,3,1
640,6.226991143,3,1
641,8.450915843,3,19
642,8.667607009,3,11
643,6.375251302,3,16
644,6.795475447,3,2
645,10.7313206,3,11
646,7.605824506,3,31
647,8.908599178,3,12
648,10.77077534,3,4
649,9.562879432,3,21
650,12.53552438,3,20
651,12.39467624,3,21
652,9.105508442,3,18
653,7.511924918,3,12
654,7.605824506,3,16
655,6.225508739,3,23
656,7.378902774,3,25
657,8.137918041,3,14
658,9.155159036,3,15
659,8.450915843,3,6
660,8.154393045,3,2
661,30.7305918,3,23
662,14.86735217,3,17
663,11.49676623,3,29
664,10.79839068,3,28
665,6.702837637,3,26
666,8.884295697,3,22
667,7.413084812,3,7
668,6.76073317,3,11
669,10.64189301,3,17
670,6.655021455,3,18
671,5.633943069,3,36
672,8.450915843,3,16
673,10.14109852,3,7
674,5.955882389,3,3
675,8.895701278,3,21
676,10.17239755,3,29
677,2.253577475,3,47
678,8.607413504,3,3
679,9.389906767,3,18
680,7.788187378,3,16
681,8.662188057,3,12
682,17.01920431,3,24
683,16.48466903,3,24
684,11.26788614,3,28
685,7.308900121,3,13
686,5.633943069,3,19
687,11.42015721,3,4
688,6.76073317,3,13
689,10.14109852,3,11
690,8.006130407,3,3
691,12.51987486,3,19
692,11.71267157,3,17
693,8.895701278,3,16
694,11.90029722,3,25
695,8.831588576,3,27
696,14.76763205,3,18
697,8.070243109,3,9
698,8.41204118,3,21
699,10.64189301,3,13
700,11.47405918,3,17
701,12.60224244,3,34
702,9.054551449,3,7
703,9.076908966,3,1
704,7.433674848,3,3
705,11.70126847,3,27
706,8.591763986,3,18
707,6.213007469,3,0
708,10.56364542,3,24
709,6.901581313,3,3
710,7.042429456,3,11
711,10.46293868,3,21
712,7.198929596,3,4
713,8.450915843,3,16
714,5.477445408,3,2
715,6.986090694,3,18
716,12.17481203,3,10
717,14.50740582,3,38
718,13.34355068,3,18
719,10.51043508,3,15
720,8.169217078,3,11
721,15.75840793,3,25
722,7.605824506,3,4
723,9.577703465,3,19
724,5.568432247,3,3
725,14.44601003,3,18
726,10.28194666,3,19
727,7.466042306,3,5
728,10.83450628,3,26
729,9.637009512,3,14
730,7.28527091,3,16
731,22.40773031,3,32
732,10.45065308,3,10
733,8.599178481,3,5
734,7.774843269,3,28
735,4.771144698,3,3
736,15.22687463,3,24
737,8.563595844,3,4
738,9.718551608,3,6
739,9.054551449,3,18
740,5.74662307,3,13
741,9.014310893,3,18
742,12.05663871,3,26
743,7.798861673,3,20
744,12.63189547,3,18
745,14.01934809,3,17
746,14.08485891,3,31
747,14.64825396,3,33
748,10.32889769,3,35
749,12.77027211,3,32
750,13.94401077,3,31
751,12.74344508,3,26
752,8.169217078,3,9
753,20.81429304,3,22
754,13.34355068,3,13
755,8.1097499,3,6
756,5.955882389,3,8
757,8.87346275,3,5
758,7.887520792,3,10
759,8.931861507,3,14
760,13.25633678,3,5
761,6.301121222,3,4
762,13.77186111,3,17
763,7.264822174,3,9
764,8.006130407,3,5
765,8.895701278,3,16
766,14.88970969,3,29
767,7.436805743,3,4
768,13.92836125,3,33
769,19.18586065,3,35
770,21.12728837,3,32
771,9.637009512,3,11
772,7.705021579,3,12
773,13.5659434,3,16
774,18.3439721,3,43
775,9.014310893,3,10
776,9.841610911,3,15
777,8.450915843,3,10
778,8.302653204,3,12
779,10.56364542,3,21
780,8.8030362,3,3
781,14.08485891,3,34
782,7.511924918,3,23
783,9.753690515,3,12
784,14.51167455,3,23
785,10.30418767,4,15
786,10.81717109,4,4
787,8.048490452,4,4
788,9.192224076,4,6
789,13.34878371,4,25
790,7.277177187,4,16
791,5.986065905,4,10
792,12.74344508,4,24
793,8.652128538,4,6
794,8.191128387,4,14
795,7.676248578,4,3
796,7.682651667,4,5
797,7.561344971,4,1
798,20.44187517,4,24
799,6.690309098,4,2
800,12.07273692,4,28
801,9.826645579,4,10
802,12.98937033,4,14
803,8.450915843,4,6
804,8.71919861,4,14
805,11.26788614,4,24
806,8.3100677,4,2
807,15.98821762,4,18
808,10.70449357,4,25
809,9.192224076,4,5
810,12.47814695,4,13
811,6.338186262,4,10
812,11.19025084,4,33
813,8.916844117,4,12
814,10.01589989,4,5
815,17.21482949,4,33
816,26.47954011,4,45
817,5.986065905,4,4
818,13.34355068,4,15
819,11.86093421,4,6
820,10.68584702,4,11
821,9.577703465,4,25
822,8.028368935,4,7
823,15.4933453,4,32
824,8.87346275,4,10
825,7.511924918,4,6
826,9.507279393,4,24
827,8.607413504,4,13
828,19.71880198,4,18
829,13.34355068,4,27
830,14.86735217,4,29
831,10.8426719,4,16
832,11.26788614,4,20
833,11.94759283,4,22
834,7.887520792,4,26
835,9.389906767,4,4
836,9.014310893,4,7
837,16.43233622,4,26
838,9.718551608,4,8
839,13.20455678,4,10
840,14.08485891,4,19
841,10.9439364,4,26
842,10.56364542,4,11
843,5.633943069,4,6
844,8.599178481,4,3
845,14.85312557,4,27
846,11.26788614,4,23
847,16.30878361,4,18
848,14.82616714,4,15
849,11.26788614,4,11
850,8.450915843,4,10
851,18.02861931,4,27
852,13.682436,4,35
853,11.26788614,4,20
854,7.32412822,4,3
855,11.97213181,4,29
856,9.089430068,4,13
857,7.20620775,4,4
858,13.37330782,4,18
859,7.836303511,4,1
860,11.26788614,4,17
861,10.01589989,4,30
862,11.51828587,4,18
863,10.17239755,4,13
864,16.15533256,4,7
865,17.38474067,4,32
866,19.27401902,4,25
867,31.92568648,4,31
868,11.40873676,4,21
869,19.71880198,4,36
870,13.00140804,4,25
871,20.28219703,4,18
872,6.76073317,4,20
873,17.86764965,4,34
874,7.746672649,4,4
875,8.353587887,4,10
876,9.85940223,4,6
877,10.2718326,4,10
878,12.81722315,4,28
879,8.374780304,4,5
880,6.530251686,4,8
881,12.60224244,4,24
882,6.259938671,4,2
883,7.511924918,4,1
884,10.10604389,4,3
885,14.82616714,4,21
886,8.366257725,4,11
887,11.26788614,4,12
888,8.591763986,4,19
889,11.11962598,4,18
890,8.607413504,4,8
891,25.91615249,4,20
892,11.89388174,4,12
893,11.94396119,4,15
894,10.41054886,4,20
895,9.389906767,4,16
896,7.887520792,4,2
897,9.702904568,4,17
898,8.707004727,4,5
899,7.002535951,4,3
900,9.69631308,4,8
901,20.00050074,4,35
902,8.569793182,4,4
903,13.34355068,4,5
904,12.1815002,4,23
905,10.2522738,4,18
906,15.4933453,4,27
907,7.534064289,4,15
908,6.885931795,4,4
909,6.76073317,4,9
910,14.08485891,4,29
911,14.08485891,4,21
912,11.83128119,4,12
913,11.09716187,4,14
914,8.450915843,4,3
915,11.86093421,4,16
916,11.26788614,4,10
917,17.74692302,4,13
918,13.52146386,4,32
919,15.02384984,4,15
920,18.31031807,4,31
921,6.690309098,4,6
922,12.15137866,4,19
923,12.73110246,4,8
924,9.85940223,4,8
925,15.4933453,4,10
926,11.83128119,4,13
927,15.02384984,4,11
928,14.46553164,4,29
929,17.46522674,4,15
930,7.887520792,4,6
931,7.170473898,4,13
932,15.4933453,4,32
933,11.16158692,4,32
934,9.389906767,4,14
935,13.19528804,4,17
936,6.393659875,4,4
937,8.3100677,4,3
938,10.37831775,4,8
939,9.121624,4,7
940,7.746672649,4,2
941,11.51828587,4,22
942,12.57233409,4,9
943,14.08485891,4,36
944,7.98142038,4,3
945,11.97213181,4,9
946,9.967746573,4,4
947,12.67637252,4,28
948,8.732612128,4,5
949,15.5834893,4,41
950,14.75556707,4,10
951,7.32412822,4,3
952,9.264708143,4,18
953,11.26788614,4,32
954,8.692550056,4,13
955,12.27861745,4,32
956,12.72332356,4,8
957,10.33279458,4,7
958,9.014310893,4,3
959,11.97213181,4,18
960,9.389906767,4,5
961,9.155159036,4,6
962,12.20687954,4,9
963,9.637009512,4,9
964,9.014310893,4,5
965,10.08179495,4,8
966,11.5495849,4,7
967,13.30236565,4,29
968,7.98142038,4,13
969,17.65302343,4,35
970,12.8866606,4,31
971,12.75050508,4,17
972,12.67637252,4,26
973,8.763911165,4,7
974,6.421364456,4,6
975,9.668318464,4,11
976,7.32412822,4,2
977,6.197338119,4,10
978,8.450915843,4,9
979,12.45397981,4,8
980,6.310018121,4,18
981,7.857870248,4,1
982,11.11962598,4,2
983,18.02861931,4,27
984,4.507155447,4,4
985,6.671776579,4,8
986,16.69316731,4,11
987,8.450915843,4,14
988,7.463060146,4,4
989,8.895701278,4,2
990,12.1815002,4,17
991,12.51987486,4,24
992,10.20200595,4,4
993,10.25466598,4,6
994,15.4933453,4,18
995,7.759959742,4,20
996,13.30236565,4,14
997,11.55680852,4,8
998,8.028368935,4,7
999,7.116559535,4,7
1000,10.70449357,4,24
1001,15.96284076,4,18
1002,15.84546566,4,25
1003,25.60883889,4,35
1004,13.52146386,4,14
1005,10.95489082,4,26
1006,17.70667999,4,29
1007,7.723955687,4,1
1008,10.37831775,4,12
1009,8.853341233,4,3
1010,6.338186262,4,19
1011,21.12728837,4,32
1012,13.54148126,4,17
1013,16.90183169,4,9
1014,12.45397981,4,13
1015,20.9102328,4,26
1016,9.155159036,4,3
1017,11.11962598,4,12
1018,12.0503794,4,8
1019,9.014310893,4,10
1020,10.14109852,4,14
1021,11.67900763,4,17
1022,8.075319969,4,7
1023,10.04183451,4,13
1024,11.58982794,4,10
1025,8.450915843,4,15
1026,7.887520792,4,7
1027,7.977059933,4,10
1028,15.02384984,4,19
1029,11.50157784,4,21
1030,15.27424709,4,19
1031,14.08485891,4,31
1032,8.083483102,4,10
1033,8.87346275,4,12
1034,17.92138801,4,19
1035,8.638715019,4,12
1036,9.264708143,4,9
1037,9.785269671,4,33
1038,14.39785671,4,22
1039,8.450915843,4,15
1040,10.11220653,4,19
1041,11.94396119,4,24
1042,13.30236565,4,7
1043,14.43062328,4,12
1044,16.70061899,4,23
1045,8.450915843,4,8
1046,8.450915843,4,4
1047,13.89023275,4,41
1048,10.65881175,4,8
1049,14.39785671,4,18
1050,10.08179495,4,4
1051,9.926472302,4,12
1052,12.07273692,4,32
1053,8.99033711,4,10
1054,7.32412822,4,14
1055,15.2921326,4,28
1056,10.82310318,4,10
1057,11.11962598,4,3
1058,12.11297995,4,11
1059,10.67484054,4,3
1060,10.15632661,4,17
1061,11.69043305,4,8
1062,10.84534171,4,24
1063,7.32412822,4,6
1064,11.5495849,4,18
1065,7.183277599,4,4
1066,12.87758522,4,22
1067,14.4872843,4,24
1068,10.85814541,4,5
1069,12.55665235,4,17
1070,14.82616714,4,18
1071,10.17239755,4,10
1072,12.43361287,4,34
1073,12.51987486,4,20
1074,12.51987486,4,29
1075,14.96516352,4,29
1076,11.41614878,4,6
1077,9.897468759,4,18
1078,6.146120838,4,14
1079,8.154393045,4,3
1080,11.97213181,4,15
1081,15.77504158,4,18
1082,10.24353308,4,5
1083,10.23005511,4,12
1084,14.82616714,4,9
1085,11.83128119,4,26
1086,9.967746573,4,19
1087,8.846328325,4,13
1088,9.014310893,4,11
1089,10.84534171,4,9
1090,8.647448308,4,8
1091,13.38061572,4,21
1092,14.82616714,4,15
1093,15.77504158,4,20
1094,5.553459478,4,1
1095,16.90183169,4,14
1096,13.61536345,4,27
1097,6.259938671,4,4
1098,12.89547074,4,10
1099,8.71919861,4,5
1100,11.5223538,4,18
1101,7.369601809,4,17
1102,11.59929499,4,13
1103,12.67637252,4,18
1104,13.20455678,4,25
1105,8.112878317,4,13
1106,17.33521154,4,28
1107,11.26788614,4,2
1108,6.402209723,4,16
1109,9.136125771,4,14
1110,10.88375529,4,31
1111,16.01226081,4,26
1112,13.48792387,4,24
1113,14.00872337,4,6
1114,12.15745701,4,11
1115,11.97213181,4,26
1116,9.054551449,4,10
1117,13.20033019,4,21
1118,14.08485891,4,21
1119,12.85243394,4,13
1120,7.464976363,4,4
1121,15.4933453,4,18
1122,15.79152155,4,25
1123,13.13154966,4,4
1124,13.14586799,4,14
1125,6.009538943,4,21
1126,9.902082058,4,12
1127,9.676439456,4,10
1128,11.26788614,4,7
1129,11.83128119,4,16
1130,11.11962598,4,18
1131,8.983857174,4,2
1132,19.24930652,4,10
1133,8.338235841,4,3
1134,12.32425217,4,14
1135,17.82565648,4,24
1136,11.26788614,4,18
1137,9.85940223,4,15
1138,12.43361287,4,33
1139,8.652128538,4,2
1140,12.95807129,4,24
1141,9.155159036,5,2
1142,9.239668418,5,3
1143,11.86093421,5,2
1144,21.94153431,5,37
1145,18.31031807,5,13
1146,10.37831775,5,2
1147,6.402209723,5,19
1148,9.765502641,5,2
1149,5.845217762,5,1
1150,7.098768217,5,5
1151,10.74783031,5,5
1152,30.28244988,5,37
